appid,name,required_age,price,dlc_count,windows,mac,linux,metacritic_score,achievements,recommendations,user_score,average_playtime_forever,average_playtime_2weeks,median_playtime_forever,median_playtime_2weeks,discount,peak_ccu,pct_pos_total,num_reviews_total,release_year,release_month,has_website,has_support_url,has_detailed_description,has_about_the_game,has_short_description,has_header_image,has_screenshots,has_movies,genres_Action,genres_Adventure,genres_Casual,genres_Early Access,genres_Free To Play,genres_Indie,genres_Massively Multiplayer,genres_RPG,genres_Racing,genres_Simulation,genres_Sports,genres_Strategy,categories_Captions available,categories_Co-op,categories_Commentary available,categories_Cross-Platform Multiplayer,categories_Family Sharing,categories_Full controller support,categories_HDR available,categories_In-App Purchases,categories_Includes Source SDK,categories_Includes level editor,categories_LAN Co-op,categories_LAN PvP,categories_MMO,categories_Multi-player,categories_Online Co-op,categories_Online PvP,categories_Partial Controller Support,categories_PvP,categories_Remote Play Together,categories_Remote Play on Phone,categories_Remote Play on TV,categories_Remote Play on Tablet,categories_Shared/Split Screen,categories_Shared/Split Screen Co-op,categories_Shared/Split Screen PvP,categories_Single-player,categories_Stats,categories_Steam Achievements,categories_Steam Cloud,categories_Steam Leaderboards,categories_Steam Timeline,categories_Steam Trading Cards,categories_Steam Turn Notifications,categories_Steam Workshop,categories_SteamVR Collectibles,categories_Tracked Controller Support,categories_VR Only,categories_VR Support,categories_VR Supported,categories_Valve Anti-Cheat enabled,tags_2D,tags_3D,tags_Action,tags_Action RPG,tags_Action-Adventure,tags_Adventure,tags_Atmospheric,tags_Building,tags_Casual,tags_Character Customization,tags_Co-op,tags_Crafting,tags_Dark,tags_Difficult,tags_Early Access,tags_Exploration,tags_FPS,tags_Fantasy,tags_Female Protagonist,tags_First-Person,tags_Free to Play,tags_Funny,tags_Gore,tags_Great Soundtrack,tags_Horror,tags_Indie,tags_Massively Multiplayer,tags_Moddable,tags_Multiplayer,tags_Online Co-Op,tags_Open World,tags_Puzzle,tags_PvP,tags_RPG,tags_Realistic,tags_Replay Value,tags_Sandbox,tags_Sci-fi,tags_Shooter,tags_Simulation,tags_Singleplayer,tags_Stealth,tags_Story Rich,tags_Strategy,tags_Survival,tags_Survival Horror,tags_Tactical,tags_Third Person,tags_Violent,tags_War,supported_languages_Arabic,supported_languages_Basque,supported_languages_Belarusian,supported_languages_Bulgarian,supported_languages_Catalan,supported_languages_Croatian,supported_languages_Czech,supported_languages_Danish,supported_languages_Dutch,supported_languages_English,supported_languages_Estonian,supported_languages_Filipino,supported_languages_Finnish,supported_languages_French,supported_languages_Galician,supported_languages_Georgian,supported_languages_German,supported_languages_Greek,supported_languages_Hebrew,supported_languages_Hindi,supported_languages_Hungarian,supported_languages_Indonesian,supported_languages_Italian,supported_languages_Japanese,supported_languages_Kazakh,supported_languages_Korean,supported_languages_Latvian,supported_languages_Lithuanian,supported_languages_Macedonian,supported_languages_Malay,supported_languages_Norwegian,supported_languages_Persian,supported_languages_Polish,supported_languages_Portuguese - Brazil,supported_languages_Portuguese - Portugal,supported_languages_Romanian,supported_languages_Russian,supported_languages_Serbian,supported_languages_Simplified Chinese,supported_languages_Slovak,supported_languages_Slovenian,supported_languages_Spanish - Latin America,supported_languages_Spanish - Spain,supported_languages_Swedish,supported_languages_Thai,supported_languages_Traditional Chinese,supported_languages_Turkish,supported_languages_Ukrainian,supported_languages_Vietnamese,full_audio_languages_Arabic,full_audio_languages_Catalan,full_audio_languages_Croatian,full_audio_languages_Czech,full_audio_languages_Danish,full_audio_languages_Dutch,full_audio_languages_English,full_audio_languages_Finnish,full_audio_languages_French,full_audio_languages_Galician,full_audio_languages_German,full_audio_languages_Greek,full_audio_languages_Hindi,full_audio_languages_Hungarian,full_audio_languages_Indonesian,full_audio_languages_Italian,full_audio_languages_Japanese,full_audio_languages_Korean,full_audio_languages_Lithuanian,full_audio_languages_Malay,full_audio_languages_Norwegian,full_audio_languages_Polish,full_audio_languages_Portuguese - Brazil,full_audio_languages_Portuguese - Portugal,full_audio_languages_Romanian,full_audio_languages_Russian,full_audio_languages_Serbian,full_audio_languages_Simplified Chinese,full_audio_languages_Slovak,full_audio_languages_Spanish - Latin America,full_audio_languages_Spanish - Spain,full_audio_languages_Swedish,full_audio_languages_Thai,full_audio_languages_Traditional Chinese,full_audio_languages_Turkish,full_audio_languages_Ukrainian,full_audio_languages_Vietnamese
105600,Terraria,0,9.99,2,1,1,1,83,115,1098792,0,0,0,0,0,0,30516,97,1102434,2011,5,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252490,Rust,0,39.99,4,1,1,0,69,92,992825,0,21195,836,3675,231,0,200902,87,993856,2018,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1
4000,Garry's Mod,0,5.99,0,1,1,1,0,29,984713,0,10987,100,1173,136,40,32384,96,985010,2006,11,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1172470,Apex Legends™,0,0.0,0,1,0,0,88,12,1548,0,9450,548,667,211,0,151844,67,983230,2020,11,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
2358720,Black Myth: Wukong,13,59.99,2,1,0,0,0,81,825294,0,0,0,0,0,0,35990,96,825621,2024,8,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
292030,The Witcher 3: Wild Hunt,17,39.99,22,1,0,0,93,78,761658,0,4411,521,927,184,0,15129,96,751939,2015,5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1245620,ELDEN RING,16,59.99,2,1,0,0,94,42,749109,0,11768,1587,5675,464,0,46121,92,749606,2022,2,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413150,Stardew Valley,0,14.99,1,1,1,1,89,49,729406,0,4871,158,2053,87,0,67309,98,733626,2016,2,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091500,Cyberpunk 2077,17,59.99,3,1,0,0,86,57,735210,0,4993,2657,3299,133,0,29239,85,729016,2020,12,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
1952710,BACKGAMMON Playtest,0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,716546,2023,10,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553850,HELLDIVERS™ 2,17,39.99,1,1,0,0,0,38,716326,0,0,0,0,0,0,48290,76,716489,2024,2,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
